class_id,class_name,Metric,Mean,Std,Median,Min,Max,N
1,Femoral_Medial,Dice,0.826625467131951,0.13426202267849877,0.8754049041582314,0.43759630200308164,0.9189710610932476,12
1,Femoral_Medial,IoU,0.7210927071290766,0.15897284436001632,0.7784186930986579,0.28007889546351084,0.8500892325996431,12
1,Femoral_Medial,Precision,0.8598015174944255,0.12235175269169117,0.9043138951133876,0.5035460992907801,0.9338842975206612,12
1,Femoral_Medial,Recall,0.7999826465492549,0.15295734528640773,0.8546334597801044,0.3869209809264305,0.9326275264677575,12
1,Femoral_Medial,Specificity,0.999813526337407,7.132275551601555e-05,0.9998221203684754,0.9996759188929157,0.9999031587589289,12
1,Femoral_Medial,Accuracy,0.9995148487580128,0.00011752268368996905,0.999503051035503,0.9992704673631657,0.9997096315643491,12
1,Femoral_Medial,HD,15.669051640155615,20.413386535617086,5.7339636687163615,3.605551275463989,66.37017402418047,12
1,Femoral_Medial,HD95,8.357183167271083,17.059559986786855,3.0,2.0,62.33692137812672,12
1,Femoral_Medial,ASD,2.21955494915367,3.3735010303557456,1.070695322776639,0.7975641453261042,12.770813455927657,12
2,Femoral_Lateral,Dice,0.896824679364593,0.03777705024261533,0.9072804135197866,0.7893553223388305,0.9294363256784969,12
2,Femoral_Lateral,IoU,0.814778730160966,0.05835028992791603,0.8302971887550201,0.6520123839009287,0.8681747269890796,12
2,Femoral_Lateral,Precision,0.8990693250193827,0.07133416249026306,0.9204820212391578,0.6864406779661016,0.9653078924544666,12
2,Femoral_Lateral,Recall,0.8994482360917377,0.04001652501059566,0.8928164912977301,0.8277066356228172,0.9580010632642212,12
2,Femoral_Lateral,Specificity,0.9997426743220609,0.00015571907113438727,0.9997592717439885,0.9993039980320942,0.9999421113719316,12
2,Femoral_Lateral,Accuracy,0.9994693432569033,0.00018158092721855777,0.999503051035503,0.9991881240754438,0.999755859375,12
2,Femoral_Lateral,HD,3.8400280430977425,1.4158266309723309,3.8643284505408246,1.4142135623730951,5.830951894845301,12
2,Femoral_Lateral,HD95,2.5203718683218312,0.9271178953000446,2.118033988749895,1.0,4.0,12
2,Femoral_Lateral,ASD,0.9922336059890221,0.30930969302551903,0.916805130509053,0.5485536627728208,1.5357587388119236,12
3,Tibial_Medial,Dice,0.8347186821039313,0.07627674003639714,0.8437463980788484,0.6858673811118553,0.92284676212866,12
3,Tibial_Medial,IoU,0.7229051085167383,0.1098891272122298,0.7303108749201714,0.5219164118246687,0.8567460317460317,12
3,Tibial_Medial,Precision,0.8190568437464609,0.12753410388598962,0.8746878226680163,0.5906488549618321,0.9729607931500676,12
3,Tibial_Medial,Recall,0.866088048852773,0.07779990498550109,0.879942633538485,0.7160839160839161,0.9732704402515723,12
3,Tibial_Medial,Specificity,0.999703702825879,0.00015507918692264584,0.999706388753058,0.9993796884850518,0.9999130137264339,12
3,Tibial_Medial,Accuracy,0.9994341908592208,0.00016909992230275468,0.9994842709874261,0.9990682206915681,0.999620065181213,12
3,Tibial_Medial,HD,17.47324314749655,22.206119727559088,11.80415493336254,4.123105625617661,85.05292469985967,12
3,Tibial_Medial,HD95,10.21707942003023,21.192518623187393,3.08113883008419,2.0,77.07657634443561,12
3,Tibial_Medial,ASD,2.247285717843409,3.2047784352624604,1.3990504714143692,0.7571619314303393,12.323430475817837,12
4,Tibial_Lateral,Dice,0.9207769932905364,0.021345401489332755,0.925248550478142,0.8835766423357664,0.9447168216398986,12
4,Tibial_Lateral,IoU,0.8538410369483129,0.03618370105089378,0.8609076966125015,0.7914351095129127,0.8952258891380968,12
4,Tibial_Lateral,Precision,0.9134724597533652,0.0450504671418511,0.9156149376651255,0.8197445972495089,0.9851904090267983,12
4,Tibial_Lateral,Recall,0.9302683856690828,0.029244931103498108,0.9407823509436279,0.8826102807145462,0.9682702149437052,12
4,Tibial_Lateral,Specificity,0.9996901050620423,0.00016376185982125446,0.9997042520669577,0.99946285496939,0.999939054915874,12
4,Tibial_Lateral,Accuracy,0.9994329870099851,0.00017984782356355813,0.9994987171782544,0.9990783330251479,0.9996691822300295,12
4,Tibial_Lateral,HD,6.123158056761302,3.3040364424447115,5.854101966249685,2.23606797749979,11.0,12
4,Tibial_Lateral,HD95,3.1075956925693986,1.5287108381437118,2.914213562373095,1.4142135623730951,6.97082039324993,12
4,Tibial_Lateral,ASD,1.0687911628928484,0.28922408403326577,1.0351146485129776,0.7030675911065268,1.723618731247228,12
