Metric,Mean,Std,Median,Min,Max,N
Dice,0.8697364554727528,0.05760197048116043,0.8866705467608675,0.7235571081352014,0.9278415811469334,12
IoU,0.7781543956887734,0.0767694630574702,0.7977206410644979,0.5978048682078174,0.8655635496396108,12
Precision,0.8728500365034088,0.0677661213854041,0.8996110594041709,0.7346460724412383,0.9381592449382612,12
Recall,0.8739468292907121,0.05977743547998249,0.8850769705207105,0.7037772409217968,0.9372516783865255,12
Specificity,0.9997375021368473,8.130025489432276e-05,0.9997318205421337,0.9995800055394324,0.99986321940308,12
Accuracy,0.9994628424710307,0.00011591000171261507,0.9994824652135724,0.999191735623151,0.9996272882766273,12
HD,10.776370221877803,9.80452300589457,6.934761266048261,4.519421807615892,35.65467982012586,12
HD95,6.050557537048135,7.092300613446239,3.1184861674050874,2.2071067811865475,22.86059088454877,12
ASD,1.6319663589697375,1.3142624239287173,1.120339019093648,0.8424832490986538,4.502851573160936,12
